Category,Product,Unit_Price,Order_Date,City,Sales_Channel,Units_Sold,Stock_Available,Total_Sales
Footwear,Flip Flops,214,2024-02-08 15:00:00,Amritsar,Online,7,77,1498
Toys & Games,Soft Toy,1295,2024-02-08 16:00:00,Chandigarh,Offline,4,87,5180
Fitness Gear,Yoga Mat,961,2024-02-08 17:00:00,Jalandhar,Offline,9,191,8649
Footwear,Loafers,2362,2024-02-08 18:00:00,Patiala,Online,2,12,4724
Books,Self-Help,391,2024-02-08 19:00:00,Delhi,Online,8,61,3128
Stationery,Calculator,514,2024-02-08 20:00:00,Noida,Online,4,146,2056
Gardening,Hose Pipe,587,2024-02-08 21:00:00,Ludhiana,Offline,11,124,6457
Electronics,Smartwatch,2269,2024-02-08 22:00:00,Gurugram,Online,14,41,31766
Stationery,Notebook Set,579,2024-02-08 23:00:00,Delhi,Online,13,107,7527
Home Decor,Vase,643,2024-02-09 00:00:00,Mohali,Online,6,17,3858
Home Decor,Cushion Covers,350,2024-02-09 01:00:00,Amritsar,Offline,6,178,2100
Automotive,Car Perfume,262,2024-02-09 02:00:00,Noida,Online,6,88,1572
Home Decor,Wall Painting,1146,2024-02-09 03:00:00,Mohali,Online,7,115,8022
Beauty & Personal Care,Perfume,3214,2024-02-09 04:00:00,Noida,Online,4,20,12856
Beauty & Personal Care,Lipstick,687,2024-02-09 05:00:00,Patiala,Online,3,178,2061
Books,Fiction Novel,589,2024-02-09 06:00:00,Delhi,Offline,11,133,6479
Home Decor,Photo Frame,220,2024-02-09 07:00:00,Mohali,Online,4,108,880
Footwear,Loafers,2362,2024-02-09 08:00:00,Patiala,Online,14,98,33068
Men Clothing,Kurta,471,2024-02-09 09:00:00,Mohali,Online,8,160,3768
Toys & Games,Board Game,1102,2024-02-09 10:00:00,Jalandhar,Online,11,149,12122
Stationery,Calculator,514,2024-02-09 11:00:00,Delhi,Online,5,135,2570
Books,Mystery,505,2024-02-09 12:00:00,Delhi,Offline,5,182,2525
Automotive,Engine Oil,2198,2024-02-09 13:00:00,Gurugram,Online,13,77,28574
Women Clothing,Lehenga,9426,2024-02-09 14:00:00,Delhi,Online,14,139,131964
Footwear,Loafers,2362,2024-02-09 15:00:00,Patiala,Offline,2,113,4724
Automotive,Microfiber Cloth,180,2024-02-09 16:00:00,Delhi,Online,13,149,2340
Beauty & Personal Care,Face Wash,465,2024-02-09 17:00:00,Mohali,Online,12,41,5580
Footwear,Flip Flops,214,2024-02-09 18:00:00,Mohali,Online,11,25,2354
Fitness Gear,Yoga Mat,961,2024-02-09 19:00:00,Chandigarh,Offline,4,35,3844
Furniture,Study Table,2815,2024-02-09 20:00:00,Mohali,Online,4,94,11260
Men Clothing,Shorts,488,2024-02-09 21:00:00,Patiala,Online,11,24,5368
Toys & Games,Remote Car,3777,2024-02-09 22:00:00,Jalandhar,Offline,11,193,41547
Furniture,Bedside Table,2485,2024-02-09 23:00:00,Amritsar,Offline,5,171,12425
Footwear,Heels,1299,2024-02-10 00:00:00,Ludhiana,Online,7,63,9093
Beauty & Personal Care,Face Wash,465,2024-02-10 01:00:00,Patiala,Online,11,150,5115
Furniture,Study Table,2815,2024-02-10 02:00:00,Mohali,Offline,5,177,14075
Women Clothing,Saree,1021,2024-02-10 03:00:00,Patiala,Online,13,197,13273
Footwear,Loafers,2362,2024-02-10 04:00:00,Mohali,Online,7,72,16534
Footwear,Formal Shoes,1974,2024-02-10 05:00:00,Mohali,Online,13,198,25662
Kitchen Tools,Juicer,1747,2024-02-10 06:00:00,Jalandhar,Online,7,56,12229
Men Clothing,T-Shirt,492,2024-02-10 07:00:00,Delhi,Offline,14,121,6888
Home Decor,Wall Painting,1146,2024-02-10 08:00:00,Mohali,Online,7,24,8022
Automotive,Car Wax,718,2024-02-10 09:00:00,Patiala,Online,11,91,7898
Home Decor,Vase,643,2024-02-10 10:00:00,Chandigarh,Offline,4,106,2572
Furniture,Bean Bag,1455,2024-02-10 11:00:00,Amritsar,Online,9,57,13095
Fitness Gear,Resistance Bands,687,2024-02-10 12:00:00,Noida,Online,14,9,9618
Electronics,Smartwatch,2269,2024-02-10 13:00:00,Gurugram,Online,9,104,20421
Fitness Gear,Cycling Machine,9021,2024-02-10 14:00:00,Delhi,Online,5,129,45105
Books,Children Story,463,2024-02-10 15:00:00,Chandigarh,Online,1,103,463
Automotive,Tyre Inflator,3495,2024-02-10 16:00:00,Patiala,Online,9,16,31455
Toys & Games,Lego Set,5297,2024-02-10 17:00:00,Jalandhar,Online,12,61,63564
Furniture,TV Unit,6016,2024-02-10 18:00:00,Patiala,Online,14,94,84224
Furniture,Bookshelf,2794,2024-02-10 19:00:00,Chandigarh,Offline,5,15,13970
Electronics,Smartphone,70263,2024-02-10 20:00:00,Patiala,Online,13,20,913419
Fitness Gear,Resistance Bands,687,2024-02-10 21:00:00,Delhi,Online,3,70,2061
Stationery,Backpack,1952,2024-02-10 22:00:00,Delhi,Online,7,172,13664
Electronics,Speaker,7311,2024-02-10 23:00:00,Chandigarh,Online,4,162,29244
Gardening,Watering Can,281,2024-02-11 00:00:00,Gurugram,Online,6,34,1686
Furniture,Bookshelf,2794,2024-02-11 01:00:00,Chandigarh,Online,6,120,16764
Beauty & Personal Care,Perfume,3214,2024-02-11 02:00:00,Gurugram,Online,7,30,22498
Footwear,Sandals,1110,2024-02-11 03:00:00,Mohali,Offline,10,11,11100
Furniture,Bean Bag,1455,2024-02-11 04:00:00,Mohali,Online,2,76,2910
Men Clothing,Sweater,520,2024-02-11 05:00:00,Ludhiana,Online,9,21,4680
Stationery,Backpack,1952,2024-02-11 06:00:00,Jalandhar,Online,2,25,3904
Kitchen Tools,Air Fryer,5184,2024-02-11 07:00:00,Jalandhar,Offline,12,80,62208
Women Clothing,Kurti,387,2024-02-11 08:00:00,Jalandhar,Offline,14,123,5418
Toys & Games,Lego Set,5297,2024-02-11 09:00:00,Jalandhar,Offline,5,13,26485
Furniture,Study Table,2815,2024-02-11 10:00:00,Noida,Offline,13,76,36595
Fitness Gear,Yoga Mat,961,2024-02-11 11:00:00,Jalandhar,Offline,5,5,4805
Footwear,Heels,1299,2024-02-11 12:00:00,Gurugram,Offline,1,182,1299
Home Decor,Table Lamp,1130,2024-02-11 13:00:00,Noida,Offline,11,103,12430
Books,Cookbook,1455,2024-02-11 14:00:00,Patiala,Online,3,39,4365
Kitchen Tools,Blender,1844,2024-02-11 15:00:00,Ludhiana,Offline,6,161,11064
Electronics,Speaker,7311,2024-02-11 16:00:00,Delhi,Offline,9,42,65799
Kitchen Tools,Blender,1844,2024-02-11 17:00:00,Delhi,Online,11,46,20284
Home Decor,Curtains,819,2024-02-11 18:00:00,Jalandhar,Offline,1,138,819
Fitness Gear,Resistance Bands,687,2024-02-11 19:00:00,Mohali,Online,11,140,7557
Footwear,Running Shoes,1782,2024-02-11 20:00:00,Jalandhar,Online,1,146,1782
Books,Cookbook,1455,2024-02-11 21:00:00,Ludhiana,Online,2,68,2910
Kitchen Tools,Mixer Grinder,2276,2024-02-11 22:00:00,Chandigarh,Online,13,113,29588
Toys & Games,Action Figure,2000,2024-02-11 23:00:00,Ludhiana,Offline,11,173,22000
Footwear,Loafers,2362,2024-02-12 00:00:00,Mohali,Offline,4,100,9448
Footwear,Loafers,2362,2024-02-12 01:00:00,Mohali,Offline,7,173,16534
Kitchen Tools,Blender,1844,2024-02-12 02:00:00,Mohali,Offline,8,115,14752
Stationery,Backpack,1952,2024-02-12 03:00:00,Patiala,Online,10,134,19520
Furniture,Bedside Table,2485,2024-02-12 04:00:00,Mohali,Online,6,198,14910
Beauty & Personal Care,Face Wash,465,2024-02-12 05:00:00,Ludhiana,Offline,14,43,6510
Gardening,Hose Pipe,587,2024-02-12 06:00:00,Noida,Offline,8,76,4696
Furniture,TV Unit,6016,2024-02-12 07:00:00,Gurugram,Offline,4,95,24064
Kitchen Tools,Kettle,1252,2024-02-12 08:00:00,Amritsar,Online,13,86,16276
Toys & Games,Cricket Bat,1069,2024-02-12 09:00:00,Ludhiana,Offline,5,73,5345
Men Clothing,Shirt,402,2024-02-12 10:00:00,Patiala,Online,8,152,3216
Gardening,Plant Pots,395,2024-02-12 11:00:00,Mohali,Online,1,56,395
Men Clothing,Sweater,520,2024-02-12 12:00:00,Patiala,Online,6,183,3120
Women Clothing,Handbag,699,2024-02-12 13:00:00,Ludhiana,Online,3,159,2097
Home Decor,Table Lamp,1130,2024-02-12 14:00:00,Jalandhar,Online,14,93,15820
Toys & Games,Doll House,1661,2024-02-12 15:00:00,Noida,Online,8,48,13288
Electronics,Tablet,16685,2024-02-12 16:00:00,Amritsar,Offline,9,48,150165
Gardening,Artificial Grass,716,2024-02-12 17:00:00,Ludhiana,Offline,12,137,8592
Kitchen Tools,Mixer Grinder,2276,2024-02-12 18:00:00,Patiala,Online,14,61,31864
Gardening,Watering Can,281,2024-02-12 19:00:00,Mohali,Offline,12,199,3372
Footwear,Formal Shoes,1974,2024-02-12 20:00:00,Mohali,Offline,1,165,1974
Fitness Gear,Gym Bag,865,2024-02-12 21:00:00,Ludhiana,Online,5,142,4325
Women Clothing,Kurti,387,2024-02-12 22:00:00,Mohali,Online,12,192,4644
Home Decor,Wall Painting,1146,2024-02-12 23:00:00,Mohali,Online,11,9,12606
Stationery,Notebook Set,579,2024-02-13 00:00:00,Jalandhar,Online,14,20,8106
Fitness Gear,Treadmill,39457,2024-02-13 01:00:00,Noida,Online,12,163,473484
Toys & Games,Cricket Bat,1069,2024-02-13 02:00:00,Delhi,Online,7,34,7483
Kitchen Tools,Kettle,1252,2024-02-13 03:00:00,Ludhiana,Online,7,195,8764
Beauty & Personal Care,Moisturizer,800,2024-02-13 04:00:00,Jalandhar,Online,12,103,9600
Fitness Gear,Yoga Mat,961,2024-02-13 05:00:00,Mohali,Offline,9,84,8649
Home Decor,Photo Frame,220,2024-02-13 06:00:00,Ludhiana,Offline,5,43,1100
Men Clothing,Kurta,471,2024-02-13 07:00:00,Patiala,Online,8,65,3768
Furniture,Bookshelf,2794,2024-02-13 08:00:00,Noida,Online,6,156,16764
Kitchen Tools,Kettle,1252,2024-02-13 09:00:00,Mohali,Offline,2,40,2504
Kitchen Tools,Mixer Grinder,2276,2024-02-13 10:00:00,Jalandhar,Offline,8,88,18208
Footwear,Formal Shoes,1974,2024-02-13 11:00:00,Chandigarh,Online,14,178,27636
Kitchen Tools,Kettle,1252,2024-02-13 12:00:00,Delhi,Online,6,74,7512
Furniture,Bean Bag,1455,2024-02-13 13:00:00,Patiala,Offline,11,58,16005
Fitness Gear,Treadmill,39457,2024-02-13 14:00:00,Patiala,Offline,3,40,118371
Women Clothing,Jeans,1358,2024-02-13 15:00:00,Ludhiana,Online,3,108,4074
Electronics,Smartphone,70263,2024-02-13 16:00:00,Ludhiana,Online,6,108,421578
Electronics,Camera,133355,2024-02-13 17:00:00,Ludhiana,Offline,7,176,933485
Automotive,Helmet,1391,2024-02-13 18:00:00,Gurugram,Online,3,86,4173
Gardening,Fertilizer,991,2024-02-13 19:00:00,Chandigarh,Online,3,150,2973
Home Decor,Wall Painting,1146,2024-02-13 20:00:00,Mohali,Offline,11,181,12606
Women Clothing,Saree,1021,2024-02-13 21:00:00,Amritsar,Offline,11,77,11231
Kitchen Tools,Mixer Grinder,2276,2024-02-13 22:00:00,Jalandhar,Offline,12,193,27312
Kitchen Tools,Mixer Grinder,2276,2024-02-13 23:00:00,Delhi,Offline,13,148,29588
Footwear,Boots,1689,2024-02-14 00:00:00,Chandigarh,Offline,8,34,13512
Women Clothing,Saree,1021,2024-02-14 01:00:00,Chandigarh,Offline,11,171,11231
Footwear,Heels,1299,2024-02-14 02:00:00,Patiala,Offline,10,47,12990
Gardening,Fertilizer,991,2024-02-14 03:00:00,Mohali,Offline,13,113,12883
Home Decor,Vase,643,2024-02-14 04:00:00,Noida,Online,12,133,7716
Women Clothing,Kurti,387,2024-02-14 05:00:00,Delhi,Online,2,14,774
Footwear,Boots,1689,2024-02-14 06:00:00,Noida,Online,10,147,16890
Kitchen Tools,Air Fryer,5184,2024-02-14 07:00:00,Noida,Offline,3,54,15552
Books,Cookbook,1455,2024-02-14 08:00:00,Chandigarh,Online,3,119,4365
Beauty & Personal Care,Moisturizer,800,2024-02-14 09:00:00,Chandigarh,Online,9,183,7200
Men Clothing,Shirt,402,2024-02-14 10:00:00,Patiala,Online,13,38,5226
Fitness Gear,Resistance Bands,687,2024-02-14 11:00:00,Chandigarh,Online,6,65,4122
Kitchen Tools,Knife Set,357,2024-02-14 12:00:00,Mohali,Online,13,119,4641
Men Clothing,Shorts,488,2024-02-14 13:00:00,Noida,Online,12,31,5856
Books,Self-Help,391,2024-02-14 14:00:00,Chandigarh,Online,10,157,3910
Footwear,Flip Flops,214,2024-02-14 15:00:00,Patiala,Online,11,55,2354
Home Decor,Table Lamp,1130,2024-02-14 16:00:00,Mohali,Online,2,40,2260
Books,Fiction Novel,589,2024-02-14 17:00:00,Jalandhar,Offline,8,197,4712
Footwear,Loafers,2362,2024-02-14 18:00:00,Chandigarh,Online,12,80,28344
Men Clothing,Shirt,402,2024-02-14 19:00:00,Patiala,Online,6,194,2412
Automotive,Car Wax,718,2024-02-14 20:00:00,Ludhiana,Online,11,129,7898
Electronics,Monitor,10433,2024-02-14 21:00:00,Ludhiana,Offline,10,83,104330
Men Clothing,Sweater,520,2024-02-14 22:00:00,Noida,Offline,2,199,1040
Home Decor,Photo Frame,220,2024-02-14 23:00:00,Delhi,Offline,6,78,1320
Women Clothing,Handbag,699,2024-02-15 00:00:00,Gurugram,Offline,1,35,699
Kitchen Tools,Knife Set,357,2024-02-15 01:00:00,Gurugram,Offline,13,91,4641
Books,Mystery,505,2024-02-15 02:00:00,Gurugram,Online,9,55,4545
Automotive,Car Perfume,262,2024-02-15 03:00:00,Gurugram,Offline,5,85,1310
Automotive,Car Wax,718,2024-02-15 04:00:00,Delhi,Online,3,30,2154
Stationery,Stapler,108,2024-02-15 05:00:00,Amritsar,Offline,6,73,648
Beauty & Personal Care,Face Wash,465,2024-02-15 06:00:00,Amritsar,Online,8,25,3720
Kitchen Tools,Blender,1844,2024-02-15 07:00:00,Jalandhar,Offline,11,128,20284
Women Clothing,Lehenga,9426,2024-02-15 08:00:00,Noida,Offline,8,170,75408
Gardening,Fertilizer,991,2024-02-15 09:00:00,Ludhiana,Online,2,143,1982
Toys & Games,Lego Set,5297,2024-02-15 10:00:00,Mohali,Online,4,116,21188
Fitness Gear,Resistance Bands,687,2024-02-15 11:00:00,Mohali,Online,7,169,4809
Automotive,Helmet,1391,2024-02-15 12:00:00,Gurugram,Online,4,137,5564
Stationery,Stapler,108,2024-02-15 13:00:00,Mohali,Online,9,67,972
Footwear,Boots,1689,2024-02-15 14:00:00,Patiala,Online,5,198,8445
Furniture,TV Unit,6016,2024-02-15 15:00:00,Patiala,Online,2,28,12032
Home Decor,Vase,643,2024-02-15 16:00:00,Amritsar,Online,13,131,8359
Electronics,Headphones,3391,2024-02-15 17:00:00,Ludhiana,Online,13,131,44083
Kitchen Tools,Mixer Grinder,2276,2024-02-15 18:00:00,Ludhiana,Online,14,144,31864
Beauty & Personal Care,Sunscreen,1176,2024-02-15 19:00:00,Gurugram,Offline,1,56,1176
Gardening,Seeds Pack,262,2024-02-15 20:00:00,Jalandhar,Online,1,130,262
Toys & Games,Cricket Bat,1069,2024-02-15 21:00:00,Jalandhar,Offline,9,64,9621
Women Clothing,Saree,1021,2024-02-15 22:00:00,Jalandhar,Online,5,118,5105
Electronics,Smartphone,70263,2024-02-15 23:00:00,Amritsar,Online,1,85,70263
Women Clothing,Skirt,516,2024-02-16 00:00:00,Mohali,Online,9,20,4644
Footwear,Formal Shoes,1974,2024-02-16 01:00:00,Noida,Online,5,123,9870
Women Clothing,Kurti,387,2024-02-16 02:00:00,Chandigarh,Offline,8,149,3096
Gardening,Fertilizer,991,2024-02-16 03:00:00,Noida,Online,6,118,5946
Automotive,Car Vacuum,3527,2024-02-16 04:00:00,Chandigarh,Offline,13,99,45851
Home Decor,Curtains,819,2024-02-16 05:00:00,Delhi,Offline,1,182,819
Furniture,Study Table,2815,2024-02-16 06:00:00,Gurugram,Offline,5,103,14075
Fitness Gear,Dumbbells,4152,2024-02-16 07:00:00,Delhi,Offline,14,188,58128
Toys & Games,Action Figure,2000,2024-02-16 08:00:00,Amritsar,Online,13,78,26000
Beauty & Personal Care,Trimmer,1345,2024-02-16 09:00:00,Ludhiana,Online,9,96,12105
Beauty & Personal Care,Face Wash,465,2024-02-16 10:00:00,Gurugram,Offline,9,143,4185
Automotive,Helmet,1391,2024-02-16 11:00:00,Mohali,Online,2,128,2782
Men Clothing,Jacket,1994,2024-02-16 12:00:00,Noida,Online,8,196,15952
Stationery,Notebook Set,579,2024-02-16 13:00:00,Noida,Online,3,48,1737
Electronics,Tablet,16685,2024-02-16 14:00:00,Mohali,Offline,3,109,50055
Men Clothing,Jacket,1994,2024-02-16 15:00:00,Jalandhar,Online,9,66,17946
Books,Self-Help,391,2024-02-16 16:00:00,Ludhiana,Online,8,76,3128
Stationery,Pen Pack,592,2024-02-16 17:00:00,Mohali,Online,6,115,3552
Kitchen Tools,Juicer,1747,2024-02-16 18:00:00,Noida,Online,2,111,3494
Kitchen Tools,Kettle,1252,2024-02-16 19:00:00,Jalandhar,Online,12,136,15024
Stationery,Notebook Set,579,2024-02-16 20:00:00,Ludhiana,Offline,13,177,7527
Kitchen Tools,Induction Cooktop,2021,2024-02-16 21:00:00,Mohali,Offline,4,42,8084
Gardening,Plant Pots,395,2024-02-16 22:00:00,Mohali,Offline,7,76,2765
Footwear,Formal Shoes,1974,2024-02-16 23:00:00,Chandigarh,Online,7,169,13818
Home Decor,Table Lamp,1130,2024-02-17 00:00:00,Jalandhar,Offline,11,54,12430
Kitchen Tools,Juicer,1747,2024-02-17 01:00:00,Ludhiana,Online,7,172,12229
Books,Cookbook,1455,2024-02-17 02:00:00,Jalandhar,Online,5,45,7275
Women Clothing,Saree,1021,2024-02-17 03:00:00,Ludhiana,Offline,12,108,12252
Electronics,Laptop,56023,2024-02-17 04:00:00,Chandigarh,Online,4,68,224092
Automotive,Engine Oil,2198,2024-02-17 05:00:00,Jalandhar,Online,12,86,26376
Home Decor,Table Lamp,1130,2024-02-17 06:00:00,Mohali,Online,12,42,13560
Electronics,Smartwatch,2269,2024-02-17 07:00:00,Jalandhar,Offline,10,124,22690
Footwear,Loafers,2362,2024-02-17 08:00:00,Ludhiana,Offline,9,126,21258
Books,Children Story,463,2024-02-17 09:00:00,Mohali,Offline,4,153,1852
Stationery,Desk Organizer,464,2024-02-17 10:00:00,Ludhiana,Online,14,13,6496
Stationery,Whiteboard,2367,2024-02-17 11:00:00,Chandigarh,Online,1,193,2367
Women Clothing,Skirt,516,2024-02-17 12:00:00,Patiala,Offline,2,44,1032
Fitness Gear,Resistance Bands,687,2024-02-17 13:00:00,Ludhiana,Online,13,99,8931
Toys & Games,Puzzle,601,2024-02-17 14:00:00,Noida,Online,6,10,3606
Footwear,Formal Shoes,1974,2024-02-17 15:00:00,Chandigarh,Online,8,68,15792
Home Decor,Curtains,819,2024-02-17 16:00:00,Delhi,Online,14,142,11466
Electronics,Smartphone,70263,2024-02-17 17:00:00,Mohali,Offline,11,47,772893
Home Decor,Mirror,1840,2024-02-17 18:00:00,Ludhiana,Online,9,55,16560
Toys & Games,Doll House,1661,2024-02-17 19:00:00,Noida,Online,12,190,19932
Men Clothing,Trousers,806,2024-02-17 20:00:00,Gurugram,Offline,4,95,3224
Electronics,Smartwatch,2269,2024-02-17 21:00:00,Gurugram,Offline,1,177,2269
Furniture,Bean Bag,1455,2024-02-17 22:00:00,Amritsar,Online,9,131,13095
Women Clothing,Lehenga,9426,2024-02-17 23:00:00,Jalandhar,Online,7,33,65982
Stationery,Desk Organizer,464,2024-02-18 00:00:00,Ludhiana,Online,14,17,6496
Beauty & Personal Care,Face Wash,465,2024-02-18 01:00:00,Jalandhar,Online,11,88,5115
Footwear,Running Shoes,1782,2024-02-18 02:00:00,Delhi,Online,2,21,3564
Women Clothing,Dress,2238,2024-02-18 03:00:00,Gurugram,Online,11,150,24618
Kitchen Tools,Mixer Grinder,2276,2024-02-18 04:00:00,Gurugram,Online,14,68,31864
Gardening,Watering Can,281,2024-02-18 05:00:00,Amritsar,Online,13,15,3653
Electronics,Smartwatch,2269,2024-02-18 06:00:00,Jalandhar,Offline,4,32,9076
Books,Cookbook,1455,2024-02-18 07:00:00,Chandigarh,Offline,5,164,7275
Furniture,Study Table,2815,2024-02-18 08:00:00,Delhi,Offline,5,50,14075
Men Clothing,Shorts,488,2024-02-18 09:00:00,Jalandhar,Online,13,171,6344
Fitness Gear,Cycling Machine,9021,2024-02-18 10:00:00,Mohali,Online,4,53,36084
Men Clothing,Trousers,806,2024-02-18 11:00:00,Noida,Offline,14,186,11284
Automotive,Car Wax,718,2024-02-18 12:00:00,Mohali,Offline,3,111,2154
Automotive,Car Wax,718,2024-02-18 13:00:00,Gurugram,Online,5,150,3590
Fitness Gear,Resistance Bands,687,2024-02-18 14:00:00,Amritsar,Online,4,85,2748
Furniture,Bookshelf,2794,2024-02-18 15:00:00,Noida,Offline,6,135,16764
Kitchen Tools,Juicer,1747,2024-02-18 16:00:00,Gurugram,Online,4,68,6988
Toys & Games,Lego Set,5297,2024-02-18 17:00:00,Amritsar,Online,14,156,74158
Toys & Games,Board Game,1102,2024-02-18 18:00:00,Chandigarh,Online,10,178,11020
Footwear,Loafers,2362,2024-02-18 19:00:00,Mohali,Online,14,97,33068
Gardening,Hose Pipe,587,2024-02-18 20:00:00,Noida,Online,11,149,6457
Women Clothing,Kurti,387,2024-02-18 21:00:00,Chandigarh,Online,9,25,3483
Electronics,Smartphone,70263,2024-02-18 22:00:00,Chandigarh,Offline,12,8,843156
Furniture,Shoe Rack,2275,2024-02-18 23:00:00,Mohali,Online,3,111,6825
Books,Academic,634,2024-02-19 00:00:00,Amritsar,Online,4,135,2536
Automotive,Engine Oil,2198,2024-02-19 01:00:00,Noida,Offline,13,11,28574
Books,Biography,804,2024-02-19 02:00:00,Ludhiana,Online,3,175,2412
Gardening,Pruning Shears,1063,2024-02-19 03:00:00,Patiala,Offline,5,111,5315
Fitness Gear,Yoga Mat,961,2024-02-19 04:00:00,Ludhiana,Online,12,63,11532
Footwear,Flip Flops,214,2024-02-19 05:00:00,Delhi,Online,10,177,2140
Gardening,Watering Can,281,2024-02-19 06:00:00,Mohali,Offline,3,27,843
Stationery,Stapler,108,2024-02-19 07:00:00,Jalandhar,Offline,2,170,216
Home Decor,Wall Painting,1146,2024-02-19 08:00:00,Mohali,Offline,7,45,8022
Beauty & Personal Care,Shampoo,441,2024-02-19 09:00:00,Gurugram,Online,10,23,4410
Fitness Gear,Yoga Mat,961,2024-02-19 10:00:00,Gurugram,Offline,7,195,6727
Beauty & Personal Care,Lipstick,687,2024-02-19 11:00:00,Patiala,Offline,13,141,8931
Home Decor,Vase,643,2024-02-19 12:00:00,Mohali,Offline,2,90,1286
Gardening,Watering Can,281,2024-02-19 13:00:00,Ludhiana,Online,14,75,3934
Automotive,Car Wax,718,2024-02-19 14:00:00,Delhi,Online,1,189,718
Furniture,Bean Bag,1455,2024-02-19 15:00:00,Amritsar,Offline,10,182,14550
Women Clothing,Saree,1021,2024-02-19 16:00:00,Patiala,Online,9,147,9189
Kitchen Tools,Air Fryer,5184,2024-02-19 17:00:00,Amritsar,Online,13,36,67392
Stationery,Stapler,108,2024-02-19 18:00:00,Ludhiana,Offline,14,50,1512
Women Clothing,Dress,2238,2024-02-19 19:00:00,Ludhiana,Offline,11,154,24618
Beauty & Personal Care,Lipstick,687,2024-02-19 20:00:00,Mohali,Online,5,115,3435
Furniture,Bean Bag,1455,2024-02-19 21:00:00,Delhi,Offline,9,27,13095
Toys & Games,Soft Toy,1295,2024-02-19 22:00:00,Jalandhar,Online,2,13,2590
Fitness Gear,Jump Rope,589,2024-02-19 23:00:00,Chandigarh,Online,9,65,5301
Gardening,Artificial Grass,716,2024-02-20 00:00:00,Noida,Online,13,33,9308
Home Decor,Photo Frame,220,2024-02-20 01:00:00,Noida,Online,14,134,3080
Electronics,Tablet,16685,2024-02-20 02:00:00,Chandigarh,Online,1,137,16685
Footwear,Flip Flops,214,2024-02-20 03:00:00,Amritsar,Online,10,146,2140
Kitchen Tools,Air Fryer,5184,2024-02-20 04:00:00,Delhi,Online,8,83,41472
Electronics,Headphones,3391,2024-02-20 05:00:00,Patiala,Online,6,70,20346
Books,Cookbook,1455,2024-02-20 06:00:00,Gurugram,Offline,13,192,18915
Kitchen Tools,Kettle,1252,2024-02-20 07:00:00,Noida,Offline,14,37,17528
Fitness Gear,Cycling Machine,9021,2024-02-20 08:00:00,Mohali,Online,7,187,63147
Kitchen Tools,Knife Set,357,2024-02-20 09:00:00,Chandigarh,Online,11,46,3927
Furniture,Shoe Rack,2275,2024-02-20 10:00:00,Amritsar,Offline,10,114,22750
Stationery,Art Colors,1480,2024-02-20 11:00:00,Noida,Offline,14,125,20720
Women Clothing,Top,766,2024-02-20 12:00:00,Ludhiana,Offline,10,7,7660
Toys & Games,Board Game,1102,2024-02-20 13:00:00,Ludhiana,Offline,2,91,2204
Footwear,Formal Shoes,1974,2024-02-20 14:00:00,Delhi,Online,11,36,21714
Footwear,Boots,1689,2024-02-20 15:00:00,Ludhiana,Online,1,195,1689
Toys & Games,Puzzle,601,2024-02-20 16:00:00,Gurugram,Online,1,113,601
Toys & Games,Soft Toy,1295,2024-02-20 17:00:00,Ludhiana,Offline,1,44,1295
Kitchen Tools,Toaster,1659,2024-02-20 18:00:00,Mohali,Online,4,194,6636
Women Clothing,Top,766,2024-02-20 19:00:00,Noida,Online,11,149,8426
Women Clothing,Lehenga,9426,2024-02-20 20:00:00,Noida,Offline,2,161,18852
Men Clothing,Trousers,806,2024-02-20 21:00:00,Ludhiana,Online,10,75,8060
Women Clothing,Handbag,699,2024-02-20 22:00:00,Patiala,Offline,7,188,4893
Electronics,Headphones,3391,2024-02-20 23:00:00,Mohali,Online,4,102,13564
Men Clothing,Jacket,1994,2024-02-21 00:00:00,Delhi,Offline,6,110,11964
Books,Fiction Novel,589,2024-02-21 01:00:00,Jalandhar,Online,11,7,6479
Fitness Gear,Dumbbells,4152,2024-02-21 02:00:00,Ludhiana,Online,5,51,20760
Fitness Gear,Yoga Mat,961,2024-02-21 03:00:00,Amritsar,Online,1,150,961
Women Clothing,Handbag,699,2024-02-21 04:00:00,Jalandhar,Offline,4,188,2796
Toys & Games,Cricket Bat,1069,2024-02-21 05:00:00,Patiala,Online,13,147,13897
Electronics,Smartwatch,2269,2024-02-21 06:00:00,Delhi,Online,4,197,9076
Automotive,Car Vacuum,3527,2024-02-21 07:00:00,Noida,Offline,4,45,14108
Automotive,Car Wax,718,2024-02-21 08:00:00,Gurugram,Offline,9,112,6462
Electronics,Headphones,3391,2024-02-21 09:00:00,Gurugram,Online,9,19,30519
Automotive,Car Vacuum,3527,2024-02-21 10:00:00,Jalandhar,Offline,2,92,7054
Home Decor,Wall Clock,966,2024-02-21 11:00:00,Jalandhar,Online,9,121,8694
Furniture,Study Table,2815,2024-02-21 12:00:00,Amritsar,Offline,7,182,19705
Men Clothing,Sweater,520,2024-02-21 13:00:00,Noida,Online,13,60,6760
Furniture,Shoe Rack,2275,2024-02-21 14:00:00,Amritsar,Online,12,117,27300
Automotive,Tyre Inflator,3495,2024-02-21 15:00:00,Noida,Offline,13,184,45435
Electronics,Laptop,56023,2024-02-21 16:00:00,Delhi,Online,6,173,336138
Gardening,Seeds Pack,262,2024-02-21 17:00:00,Chandigarh,Online,5,111,1310
Toys & Games,Board Game,1102,2024-02-21 18:00:00,Delhi,Online,13,48,14326
